Category,Category in detail,Pureesha pareeksha,Search Term for Feature of pureesha,Reference
Pathology,Pureesha sinking in water - Arishta lakshana (Pathology),Pureesha,Pureesha sinking in water - Arishta lakshana (Pathology),(Ch. Ind. 11. 11)
Advise,Virechana poorvakarma - Diet (Diet),Virechana,Virechana poorvakarma - Diet (Diet),(Ch. Siddhi. 1. 8 - 9)
Advise,Virechana mode of action - Mode of action (Advise),Virechana,Virechana mode of action - Mode of action (Advise),(Ch. Siddhi. 1. 8 - 9)
Advise,Order of administration of purgation (Advise),Virechana,Order of administration of purgation (Advise),(Ch. Siddhi. 1. 9 - 10)
Advise,Shuddha - Samsarjana krama (Advise),Shuddha,Shuddha - Samsarjana krama (Advise),(Ch. Siddhi. 1. 13 - 14)
Advise,Samyak virikta lakshana (Advise),Virikta,Samyak virikta lakshana (Advise),(Ch. Siddhi. 1. 17 - 18)
Advise,Durvirikta lakshana (Advise),Virikta,Durvirikta lakshana (Advise),(Ch. Siddhi. 1. 18 - 19)
Advise,Virechate ati lakshana (Advise),Virechate,Virechate ati lakshana (Advise),(Ch. Siddhi. 1. 19 - 20)
Advise,Sequence of Niruha and Virechanam (Advise),Virechana,Sequence of Niruha and Virechanam (Advise),(Ch. Siddhi. 1. 19 - 20)
Treatment,Niruha basti benefit - Vit karshi (Evacuation of feces) (Treatment),Vit,Niruha basti benefit - Vit karshi (Evacuation of feces) (Treatment),(Ch. Siddhi. 1. 27 - 28)
Treatment,Indication and benefit of basti - Vigrathita pureesha hara - Alleviates Hard stool (Treatment),Pureesha,Indication and benefit of basti - Vigrathita pureesha hara - Alleviates Hard stool (Treatment),(Ch. Siddhi. 1. 32 - 34)
Physiology,Vata dosha karma - Vin vikshepa - seperation (Physiology),Vin,Vata dosha karma - Vin vikshepa - seperation (Physiology),(Ch. Siddhi. 1. 38 - 40)
Physiology,Vata dosha karma - Vin sangaata - combination (Physiology),Vin,Vata dosha karma - Vin sangaata - combination (Physiology),(Ch. Siddhi. 1. 38 - 40)
Advise,Niruha basti samyak yoga - Prasrushta vin (Advise),Vin,Niruha basti samyak yoga - Prasrushta vin (Advise),(Ch. Siddhi. 1. 41 - 42)
Advise,Contraindication of asthapana basti - Virikta (Advise),Virikta,Contraindication of asthapana basti - Virikta (Advise),(Ch. Siddhi. 2. 14)
Advise,Indication of asthapana basti - Varcho sanga - Retention of feces (Advise),Varcho,Indication of asthapana basti - Varcho sanga - Retention of feces (Advise),(Ch. Siddhi. 2. 16)
Advise,Indication of asthapana basti - Alpa alpa uttana - Voiding stool small quantity frequently (Advise),Uttana,Indication of asthapana basti - Alpa alpa uttana - Voiding stool small quantity frequently (Advise),(Ch. Siddhi. 2. 16)
Advise,Indication of asthapana basti - Shuddha atisaara (Advise),Atisaara,Indication of asthapana basti - Shuddha atisaara (Advise),(Ch. Siddhi. 2. 16)
Advise,Indication of asthapana basti - Sa shabdha uttana (Advise),Uttana,Indication of asthapana basti - Sa shabdha uttana (Advise),(Ch. Siddhi. 2. 16)
Advise,Indication of asthapana basti - Ugra gandha uttaanaadayo vyadhi (Advise),Uttana,Indication of asthapana basti - Ugra gandha uttaanaadayo vyadhi (Advise),(Ch. Siddhi. 2. 16)
Advise,Contraindication of anuvasana - Varcho bheda (Advise),Varcho,Contraindication of anuvasana - Varcho bheda (Advise),(Ch. Siddhi. 2. 17)
Advise,Contraindication of shirovirechana - Virikta (Advise),Virikta,Contraindication of shirovirechana - Virikta (Advise),(Ch. Siddhi. 2. 20)
Advise,Preparation before basti - Krut vitkam (Passing stool before basti admin)  (Advise),Vit,Preparation before basti - Krut vitkam (Passing stool before basti admin)  (Advise),(Ch. Siddhi. 3. 13 - 20)
Cause,Atisaara - Sequel of wrong administration of basti nozzle (Cause),Atisaara,Atisaara - Sequel of wrong administration of basti nozzle (Cause),(Ch. Siddhi. 3. 20 - 23)
Advise,Vit mukte - In between basti urge of defecation to be completed before continuing (Advise),Vit,Vit mukte - In between basti urge of defecation to be completed before continuing (Advise),(Ch. Siddhi. 3. 25 - 26)
Treatment,Pittaja atisaara chikitsa - Drakshaadi basti (Treatment),Atisaara,Pittaja atisaara chikitsa - Drakshaadi basti (Treatment),(Ch. Siddhi. 3. 53 - 55)
Cause,Pureesha aavruta - Causes of complication of sneha basti (Cause),Pureesha,Pureesha aavruta - Causes of complication of sneha basti (Cause),(Ch. Siddhi. 4. 25)
Cause,Vaarcha sanchaya - Causes of complication of sneha basti (Cause),Varcha,Vaarcha sanchaya - Causes of complication of sneha basti (Cause),(Ch. Siddhi. 4. 26 - 27)
Cause,Vin sanga induced basti complication from obstruction - Vin sanga (Cause),Vin,Vin sanga induced basti complication from obstruction - Vin sanga (Cause),(Ch. Siddhi. 4. 36 - 37)
Advise,Indication of warm water post virechana - Virechana paschaat karma (Diet),Virechana,Indication of warm water post virechana - Virechana paschaat karma (Diet),(Ch. Siddhi. 4. 42 - 45)
Treatment,Sukham srushta pureesha krut - Matra basti benefit (Treatment),Pureesha,Sukham srushta pureesha krut - Matra basti benefit (Treatment),(Ch. Siddhi. 4. 52 - 54)
Treatment,Vireka as treatment - Fast administration of basti (Treatment),Vireka,Vireka as treatment - Fast administration of basti (Treatment),(Ch. Siddhi. 5. 17 - 18)
Advise,Virechana poorvakarma - Snehana (Advise),Virechana,Virechana poorvakarma - Snehana (Advise),(Ch. Siddhi. 6. 7)
Advise,Indication for virechana - Visarpa (Advise),Virechana,Indication for virechana - Visarpa (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Pidaka (Advise),Virechana,Indication for virechana - Pidaka (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Shopha (Advise),Virechana,Indication for virechana - Shopha (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Kamala (Advise),Virechana,Indication for virechana - Kamala (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Pandu (Advise),Virechana,Indication for virechana - Pandu (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Abhighaata (Advise),Virechana,Indication for virechana - Abhighaata (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Visha (Advise),Virechana,Indication for virechana - Visha (Advise),(Ch. Siddhi. 6. 8)
Advise,Indication for virechana - Na ati snigdha (Advise),Virechana,Indication for virechana - Na ati snigdha (Advise),(Ch. Siddhi. 6. 8)
Advise,Contraindication for snigdha virechana - Ati snigdha deha (Advise),Virechana,Contraindication for snigdha virechana - Ati snigdha deha (Advise),(Ch. Siddhi. 6. 9)
Advise,Indication for rooksha virechana - Ati snigdha deha (Advise),Virechana,Indication for rooksha virechana - Ati snigdha deha (Advise),(Ch. Siddhi. 6. 9)
Advise,Effect of consuming virechana aushadhi before previous digestion - Vibandha pureesha (Advise),Pureesha,Effect of consuming virechana aushadhi before previous digestion - Vibandha pureesha (Advise),(Ch. Siddhi. 6. 14)
Advise,Diet before virechana - Laghu and Ushna (Advise),Virechana,Diet before virechana - Laghu and Ushna (Advise),(Ch. Siddhi. 6. 18-19)
Advise,Samyak virechana lakshana - Kapha anta (Advise),Virechana,Samyak virechana lakshana - Kapha anta (Advise),(Ch. Siddhi. 6. 20)
Disease,"Ati yoga of virechana - Removes excess pureesha, pitta, kapha, drava (Disease)",Virechana,Reduced quantity of feces,(Ch. Siddhi. 6. 51)
Treatment,Virechana ati yoga chikitsa (Treatment),Virechana,Virechana ati yoga chikitsa (Treatment),(Ch. Siddhi. 6. 51)
Disease,Impact of snighdha virechana to snigdha deha - Pureesha rodha (Disease),Pureesha,Obstruction of feces,(Ch. Siddhi. 6. 90-91)
Treatment,Treatment for impact of snighdha virechana to snigdha deha - Teekshna virechana and basti(Treatment) ,Pureesha,Treatment for impact of snighdha virechana to snigdha deha - Teekshna virechana and basti(Treatment) ,(Ch. Siddhi. 6. 90-91)
Disease,Complication of basti - Pravaahika (Disease),Pravaahika,Loose feces,(Ch. Siddhi. 7. 5-6)
Disease,Complication of basti - Parisraava (Disease),Parisraava,Loose feces,(Ch. Siddhi. 7. 5-6)
Disease,Basti ayoga feature - Shakrut graha (Disease),Shakrut,Obstruction of feces,(Ch. Siddhi. 7. 7-11)
Disease,Basti ati yoga feature - Visraava (Disease),Visraava,Loose feces,(Ch. Siddhi. 7. 12-14)
Cause,Causes of urdhwa gamana of basti dravya - Pureesha nigraha (Cause),Pureesha,Causes of urdhwa gamana of basti dravya - Pureesha nigraha (Cause),(Ch. Siddhi. 7. 39)
Disease,Complication of basti - Pravaahika (Disease),Pravaahika,Loose feces,(Ch. Siddhi. 7. 42)
Disease,Guru teekshna basti feature - Aavruta koshta (Disease),Koshta,Obstruction of feces,(Ch. Siddhi. 7. 53)
Disease,Amla ushna teekshna lavana basti feature - Parisraava (Disease),Parisraava,Loose feces,(Ch. Siddhi. 7. 62)
Treatment,Chatur prasrita basti - Vit sanga hara (Treatment),Vit,Chatur prasrita basti - Vit sanga hara (Treatment),(Ch. Siddhi. 8. 12)
Treatment,Chatur prasrita basti - Aanaaha hara (Treatment),Aanaaha,Chatur prasrita basti - Aanaaha hara (Treatment),(Ch. Siddhi. 8. 12)
Treatment,"Guda daaha tretament - Expelling pitta, pureesha and vata (Treatment)",Pureesha,"Guda daaha tretament - Expelling pitta, pureesha and vata (Treatment)",(Ch. Siddhi. 8. 16-17)
Treatment,"Mala kshaya treatment - Kulmasha, etc. (Treatment)",Mala,"Mala kshaya treatment - Kulmasha, etc. (Treatment)",(Ch. Siddhi. 8. 18)
Disease,Aamaja shoola - Saama pureesha (Disease feature),Pureesha,Abnormally formed feces,(Ch. Siddhi. 8. 19)
Disease,Aamaja shoola - Kunapa gandha pureesha (Disease feature),Pureesha,Foul smelling feces,(Ch. Siddhi. 8. 19)
Treatment,Pakva shakrut atisaara treatment - Specific dosha treatment (Treatment),Atisaara,Pakva shakrut atisaara treatment - Specific dosha treatment (Treatment),(Ch. Siddhi. 8. 20)
Advise,Thirty six types of atisaara (Advise),Atisaara,Thirty six types of atisaara (Advise),(Ch. Siddhi. 8. 21-22)
Advise,Complication of atisaara - Pravaahika (Advise),Pravaahika,Complication of atisaara - Pravaahika (Advise),(Ch. Siddhi. 8. 21-22)
Treatment,Aama atisaara treatment (Treatment),Atisaara,Aama atisaara treatment (Treatment),(Ch. Siddhi. 8. 23)
Treatment,Shakrut atisaara treatment (Treatment),Atisaara,Shakrut atisaara treatment (Treatment),(Ch. Siddhi. 8. 24)
Treatment,Vaata atisaara treatment (Treatment),Atisaara,Vaata atisaara treatment (Treatment),(Ch. Siddhi. 8. 24)
Treatment,Basti treatment for rakta atisaara (Treatment),Atisaara,Basti treatment for rakta atisaara (Treatment),(Ch. Siddhi. 8. 25)
Treatment,Basti treatment for pitta atisaara (Treatment),Atisaara,Basti treatment for pitta atisaara (Treatment),(Ch. Siddhi. 8. 25)
Treatment,Basti treatment for kapha atisaara (Treatment),Atisaara,Basti treatment for kapha atisaara (Treatment),(Ch. Siddhi. 8. 25)
Treatment,Atisaara with aama associated with shakrut (Treatment),Atisaara,Atisaara with aama associated with shakrut (Treatment),(Ch. Siddhi. 8. 26)
Treatment,Atisaara with aama associated with vaata (Treatment),Atisaara,Atisaara with aama associated with vaata (Treatment),(Ch. Siddhi. 8. 26)
Treatment,Atisaara with shakrit associated with aama (Treatment),Atisaara,Atisaara with shakrit associated with aama (Treatment),(Ch. Siddhi. 8. 26)
Treatment,Atisaara with vaat associated with aama (Treatment),Atisaara,Atisaara with vaat associated with aama (Treatment),(Ch. Siddhi. 8. 26)
Treatment,Atisaara associated with aama with pitta (Treatment),Atisaara,Atisaara associated with aama with pitta (Treatment),(Ch. Siddhi. 8. 27)
Treatment,Atisaara associated with aama with rakta (Treatment),Atisaara,Atisaara associated with aama with rakta (Treatment),(Ch. Siddhi. 8. 27)
Treatment,Atisaara associated with aama with pitta and rakta (Treatment),Atisaara,Atisaara associated with aama with pitta and rakta (Treatment),(Ch. Siddhi. 8. 27)
Treatment,Atisaara associated with aama with kapha (Treatment),Atisaara,Atisaara associated with aama with kapha (Treatment),(Ch. Siddhi. 8. 28)
Treatment,Atisaara associated with kapha with aama (Treatment),Atisaara,Atisaara associated with kapha with aama (Treatment),(Ch. Siddhi. 8. 28)
Treatment,Atisaara associated with shakrut with vaata (Treatment),Atisaara,Atisaara associated with shakrut with vaata (Treatment),(Ch. Siddhi. 8. 29)
Treatment,Atisaara associated with pitta with vaata (Treatment),Atisaara,Atisaara associated with pitta with vaata (Treatment),(Ch. Siddhi. 8. 29)
Treatment,Atisaara associated with vaata with shakrut (Treatment),Atisaara,Atisaara associated with vaata with shakrut (Treatment),(Ch. Siddhi. 8. 29)
Treatment,Atisaara associated with vaata with pitta (Treatment),Atisaara,Atisaara associated with vaata with pitta (Treatment),(Ch. Siddhi. 8. 29)
Treatment,Atisaara associated with vaata with shakrut and pitta (Treatment),Atisaara,Atisaara associated with vaata with shakrut and pitta (Treatment),(Ch. Siddhi. 8. 29)
Treatment,Atisaara with pitta with shakrut and rakta (Treatment),Atisaara,Atisaara with pitta with shakrut and rakta (Treatment),(Ch. Siddhi. 8. 30)
Treatment,Atisaara with shakrut with rakta and pitta (Treatment),Atisaara,Atisaara with shakrut with rakta and pitta (Treatment),(Ch. Siddhi. 8. 30)
Treatment,Atisaara with kapha with shakrut (Treatment),Atisaara,Atisaara with kapha with shakrut (Treatment),(Ch. Siddhi. 8. 31)
Treatment,Atisaara with kapha with pitta (Treatment),Atisaara,Atisaara with kapha with pitta (Treatment),(Ch. Siddhi. 8. 31)
Treatment,Atisaara with shakrut with kapha (Treatment),Atisaara,Atisaara with shakrut with kapha (Treatment),(Ch. Siddhi. 8. 31)
Treatment,Atisaara with pitta with kapha (Treatment),Atisaara,Atisaara with pitta with kapha (Treatment),(Ch. Siddhi. 8. 31)
